,Unnamed: 0,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id
285,85,Home,W 126-113 ,240,45,86,0.523,29,53,0.547,16,33,0.485,20,24,0.833,126,44,97,0.454,36,72,0.5,8,25,0.32,17,22,0.773,113,2014-01-20,HOU,POR
286,86,@,W 126-118 ,240,46,84,0.548,34,62,0.548,12,22,0.545,22,25,0.88,126,36,74,0.486,22,45,0.489,14,29,0.483,32,38,0.842,118,2014-01-25,LAC,TOR
287,87,@,W 126-117 ,240,42,78,0.538,30,55,0.545,12,23,0.522,30,32,0.938,126,38,89,0.427,31,70,0.443,7,19,0.368,34,36,0.944,117,2014-01-29,PHO,MIL
288,88,Home,W 126-109 ,240,50,98,0.51,42,78,0.538,8,20,0.4,18,23,0.783,126,41,88,0.466,26,55,0.473,15,33,0.455,12,22,0.545,109,2014-02-08,DET,DEN
289,89,Home,W 126-122 ,240,48,80,0.6,29,53,0.547,19,27,0.704,11,16,0.688,126,47,93,0.505,42,78,0.538,5,15,0.333,23,32,0.719,122,2014-02-28,LAL,SAC
290,90,@,W 126-103 ,240,44,92,0.478,30,57,0.526,14,35,0.4,24,31,0.774,126,36,95,0.379,26,70,0.371,10,25,0.4,21,23,0.913,103,2014-02-28,GSW,NYK
291,91,@,L 126-134 ,240,45,97,0.464,33,70,0.471,12,27,0.444,24,30,0.8,126,54,99,0.545,40,75,0.533,14,24,0.583,12,21,0.571,134,2014-03-07,LAL,DEN
292,92,@,W 126-115 ,240,42,82,0.512,28,53,0.528,14,29,0.483,28,33,0.848,126,42,82,0.512,32,58,0.552,10,24,0.417,21,24,0.875,115,2014-11-26,TOR,ATL
293,93,Home,W 126-86 ,240,46,82,0.561,34,54,0.63,12,28,0.429,22,27,0.815,126,33,86,0.384,27,66,0.409,6,20,0.3,14,23,0.609,86,2014-12-30,GSW,PHI
294,94,Home,W 126-105 ,240,49,92,0.533,37,64,0.578,12,28,0.429,16,20,0.8,126,40,86,0.465,30,61,0.492,10,25,0.4,15,20,0.75,105,2015-01-02,GSW,TOR
295,95,@,W 126-121 ,240,46,83,0.554,36,60,0.6,10,23,0.435,24,31,0.774,126,43,91,0.473,33,62,0.532,10,29,0.345,25,36,0.694,121,2015-01-16,CLE,LAC
296,96,Home,W 126-113 ,240,49,98,0.5,36,69,0.522,13,29,0.448,15,18,0.833,126,37,87,0.425,24,55,0.436,13,32,0.406,26,31,0.839,113,2015-01-21,GSW,HOU
297,97,Home,W 126-101 ,240,45,94,0.479,28,54,0.519,17,40,0.425,19,22,0.864,126,34,82,0.415,30,65,0.462,4,17,0.235,29,34,0.853,101,2015-01-23,GSW,SAC
298,98,Home,W 126-99 ,240,46,95,0.484,32,60,0.533,14,35,0.4,20,28,0.714,126,30,88,0.341,26,72,0.361,4,16,0.25,35,46,0.761,99,2015-02-21,LAC,SAC
299,99,@,W 126-122 ,240,46,86,0.535,31,58,0.534,15,28,0.536,19,24,0.792,126,45,89,0.506,32,64,0.5,13,25,0.52,19,25,0.76,122,2015-04-01,LAC,POR
300,0,@,L 126-133 ,240,45,83,0.542,39,65,0.6,6,18,0.333,30,36,0.833,126,47,90,0.522,34,62,0.548,13,28,0.464,26,34,0.765,133,2015-04-15,DEN,GSW
301,1,Home,W 126-97 ,240,47,90,0.522,32,57,0.561,15,33,0.455,17,28,0.607,126,35,88,0.398,25,56,0.446,10,32,0.313,17,20,0.85,97,2015-12-12,HOU,LAL
302,2,@,W 126-98 ,240,49,92,0.533,36,60,0.6,13,32,0.406,15,19,0.789,126,39,86,0.453,34,68,0.5,5,18,0.278,15,25,0.6,98,2016-01-07,ATL,PHI
303,3,@,L 126-129 ,240,48,82,0.585,39,62,0.629,9,20,0.45,21,30,0.7,126,46,91,0.505,36,65,0.554,10,26,0.385,27,38,0.711,129,2016-01-17,IND,DEN
304,4,@,W 126-123 ,240,48,91,0.527,38,71,0.535,10,20,0.5,20,21,0.952,126,50,90,0.556,45,76,0.592,5,14,0.357,18,28,0.643,123,2016-01-27,OKC,MIN
305,5,Home,W 126-115 ,240,44,79,0.557,31,60,0.517,13,19,0.684,25,26,0.962,126,43,93,0.462,36,72,0.5,7,21,0.333,22,33,0.667,115,2016-02-21,CHI,LAL
