,Unnamed: 0,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id
3142,42,@,W 109-89 ,240,40,83,0.482,30,59,0.508,10,24,0.417,19,22,0.864,109,38,79,0.481,31,62,0.5,7,17,0.412,6,10,0.6,89,2013-01-08,BRK,PHI
3143,43,Home,L 109-117 ,240,41,82,0.5,28,45,0.622,13,37,0.351,14,25,0.56,109,42,78,0.538,31,59,0.525,11,19,0.579,22,26,0.846,117,2013-01-15,HOU,LAC
3144,44,Home,W 109-95 ,240,45,78,0.577,37,57,0.649,8,21,0.381,11,17,0.647,109,37,87,0.425,33,61,0.541,4,26,0.154,17,17,1.0,95,2013-01-16,ATL,BRK
3145,45,Home,W 109-98 ,240,45,90,0.5,39,74,0.527,6,16,0.375,13,17,0.765,109,34,83,0.41,28,62,0.452,6,21,0.286,24,30,0.8,98,2013-01-19,UTA,CLE
3146,46,@,W 109-97 ,240,41,78,0.526,26,51,0.51,15,27,0.556,12,14,0.857,109,39,84,0.464,35,68,0.515,4,16,0.25,15,21,0.714,97,2013-01-22,OKC,LAC
3147,47,Home,W 109-102 ,240,41,101,0.406,28,71,0.394,13,30,0.433,14,20,0.7,109,39,93,0.419,26,65,0.4,13,28,0.464,11,11,1.0,102,2013-01-26,MIL,GSW
3148,48,@,W 109-99 ,240,40,88,0.455,32,67,0.478,8,21,0.381,21,25,0.84,109,38,89,0.427,34,74,0.459,4,15,0.267,19,25,0.76,99,2013-02-01,DAL,PHO
3149,49,Home,W 109-95 ,240,42,82,0.512,35,62,0.565,7,20,0.35,18,23,0.783,109,33,79,0.418,25,60,0.417,8,19,0.421,21,24,0.875,95,2013-02-02,HOU,CHA
3150,50,@,L 109-140 ,240,41,86,0.477,38,71,0.535,3,15,0.2,24,30,0.8,109,46,91,0.505,23,51,0.451,23,40,0.575,25,35,0.714,140,2013-02-05,GSW,HOU
3151,51,@,L 109-119 ,240,37,81,0.457,27,57,0.474,10,24,0.417,25,30,0.833,109,46,89,0.517,36,67,0.537,10,22,0.455,17,20,0.85,119,2013-02-08,SAS,DET
3152,52,@,L 109-120 ,240,40,82,0.488,36,67,0.537,4,15,0.267,25,26,0.962,109,44,85,0.518,36,66,0.545,8,19,0.421,24,35,0.686,120,2013-02-09,UTA,SAC
3153,53,Home,W 109-108 ,240,39,83,0.47,29,62,0.468,10,21,0.476,21,23,0.913,109,44,85,0.518,38,69,0.551,6,16,0.375,14,20,0.7,108,2013-02-12,TOR,DEN
3154,54,Home,W 109-94 ,240,42,87,0.483,35,68,0.515,7,19,0.368,18,22,0.818,109,38,68,0.559,33,53,0.623,5,15,0.333,13,23,0.565,94,2013-02-12,UTA,OKC
3155,55,Home,W 109-105 ,240,39,75,0.52,27,56,0.482,12,19,0.632,19,24,0.792,109,39,78,0.5,31,58,0.534,8,20,0.4,19,24,0.792,105,2013-02-24,MIA,CLE
3156,56,Home,W 109-105 ,240,36,87,0.414,25,53,0.472,11,34,0.324,26,33,0.788,109,36,72,0.5,21,45,0.467,15,27,0.556,18,21,0.857,105,2013-02-27,NYK,GSW
3157,57,Home,L 109-111 ,240,38,85,0.447,28,60,0.467,10,25,0.4,23,27,0.852,109,45,87,0.517,42,73,0.575,3,14,0.214,18,31,0.581,111,2013-02-27,POR,DEN
3158,58,Home,W 109-94 ,240,44,90,0.489,37,70,0.529,7,20,0.35,14,22,0.636,109,34,87,0.391,33,75,0.44,1,12,0.083,25,36,0.694,94,2013-03-02,POR,MIN
3159,59,Home,W 109-108 (OT),265,45,95,0.474,35,71,0.493,10,24,0.417,9,13,0.692,109,40,99,0.404,36,86,0.419,4,13,0.308,24,31,0.774,108,2013-03-04,MIL,UTA
3160,60,@,W 109-101 ,240,42,83,0.506,31,64,0.484,11,19,0.579,14,16,0.875,109,41,100,0.41,36,79,0.456,5,21,0.238,14,18,0.778,101,2013-03-05,BOS,PHI
3161,61,@,L 109-115 ,240,47,93,0.505,42,72,0.583,5,21,0.238,10,15,0.667,109,40,90,0.444,28,63,0.444,12,27,0.444,23,26,0.885,115,2013-03-17,ORL,MIL
3162,62,Home,W 109-77 ,240,38,76,0.5,25,46,0.543,13,30,0.433,20,23,0.87,109,30,89,0.337,25,64,0.391,5,25,0.2,12,18,0.667,77,2013-03-24,MIA,CHA
3163,63,Home,W 109-103 ,240,43,90,0.478,33,67,0.493,10,23,0.435,13,19,0.684,109,36,91,0.396,30,65,0.462,6,26,0.231,25,36,0.694,103,2013-03-25,GSW,LAL
3164,64,Home,W 109-102 (OT),265,40,82,0.488,34,59,0.576,6,23,0.261,23,27,0.852,109,38,85,0.447,28,52,0.538,10,33,0.303,16,25,0.64,102,2013-03-26,DAL,LAC
3165,65,Home,W 109-87 ,240,42,74,0.568,38,60,0.633,4,14,0.286,21,31,0.677,109,32,79,0.405,27,59,0.458,5,20,0.25,18,36,0.5,87,2013-03-29,DEN,BRK
3166,66,@,W 109-99 ,240,40,75,0.533,36,59,0.61,4,16,0.25,25,32,0.781,109,37,98,0.378,25,69,0.362,12,29,0.414,13,15,0.867,99,2013-03-30,OKC,MIL
3167,67,Home,W 109-92 ,240,41,85,0.482,32,68,0.471,9,17,0.529,18,28,0.643,109,32,81,0.395,25,62,0.403,7,19,0.368,21,26,0.808,92,2013-03-31,WAS,TOR
3168,68,@,W 109-106 ,240,39,71,0.549,29,48,0.604,10,23,0.435,21,28,0.75,109,39,80,0.488,34,64,0.531,5,16,0.313,23,26,0.885,106,2013-04-01,IND,LAC
3169,69,Home,W 109-95 ,240,42,84,0.5,34,63,0.54,8,21,0.381,17,21,0.81,109,33,76,0.434,26,52,0.5,7,24,0.292,22,30,0.733,95,2013-04-07,LAC,LAL
3170,70,Home,W 109-104 ,240,43,85,0.506,37,65,0.569,6,20,0.3,17,25,0.68,109,38,92,0.413,21,59,0.356,17,33,0.515,11,16,0.688,104,2013-04-12,ATL,MIL
3171,71,Home,L 109-117 ,240,40,80,0.5,32,61,0.525,8,19,0.421,21,26,0.808,109,42,82,0.512,30,57,0.526,12,25,0.48,21,26,0.808,117,2013-04-12,IND,BRK
3172,72,Home,W 109-101 ,240,39,71,0.549,27,48,0.563,12,23,0.522,19,28,0.679,109,41,85,0.482,35,62,0.565,6,23,0.261,13,13,1.0,101,2013-04-12,MIA,BOS
3173,73,@,L 109-118 ,240,38,82,0.463,26,50,0.52,12,32,0.375,21,26,0.808,109,43,81,0.531,35,59,0.593,8,22,0.364,24,27,0.889,118,2013-04-14,POR,DEN
3174,74,Home,W 109-101 ,240,41,83,0.494,32,58,0.552,9,25,0.36,18,22,0.818,109,39,87,0.448,33,65,0.508,6,22,0.273,17,21,0.81,101,2013-04-15,DET,PHI
3175,75,@,L 109-118 ,240,37,76,0.487,29,52,0.558,8,24,0.333,27,35,0.771,109,44,77,0.571,33,53,0.623,11,24,0.458,19,24,0.792,118,2013-10-30,ATL,DAL
3176,76,@,W 109-102 ,240,48,94,0.511,42,71,0.592,6,23,0.261,7,14,0.5,109,41,94,0.436,32,68,0.471,9,26,0.346,11,17,0.647,102,2013-11-01,PHI,WAS
3177,77,@,W 109-100 ,240,35,79,0.443,25,52,0.481,10,27,0.37,29,38,0.763,109,40,89,0.449,31,57,0.544,9,32,0.281,11,13,0.846,100,2013-11-03,MIN,NYK
3178,78,Home,W 109-104 ,240,36,72,0.5,23,49,0.469,13,23,0.565,24,26,0.923,109,38,85,0.447,26,57,0.456,12,28,0.429,16,22,0.727,104,2013-11-06,MIL,CLE
3179,79,Home,W 109-107 ,240,42,86,0.488,28,61,0.459,14,25,0.56,11,17,0.647,109,43,94,0.457,35,68,0.515,8,26,0.308,13,19,0.684,107,2013-11-07,DEN,ATL
3180,80,Home,W 109-107 ,240,44,80,0.55,40,64,0.625,4,16,0.25,17,28,0.607,109,40,96,0.417,29,67,0.433,11,29,0.379,16,18,0.889,107,2013-11-11,LAC,MIN
3181,81,@,W 109-85 ,240,44,89,0.494,31,61,0.508,13,28,0.464,8,11,0.727,109,34,82,0.415,29,63,0.46,5,19,0.263,12,16,0.75,85,2013-11-11,SAS,PHI
3182,82,Home,W 109-103 ,240,42,82,0.512,31,59,0.525,11,23,0.478,14,15,0.933,109,42,91,0.462,39,77,0.506,3,14,0.214,16,21,0.762,103,2013-11-11,POR,DET
3183,83,@,W 109-106 ,240,31,68,0.456,22,40,0.55,9,28,0.321,38,44,0.864,109,38,87,0.437,30,67,0.448,8,20,0.4,22,27,0.815,106,2013-11-14,HOU,NYK
3184,84,@,W 109-96 ,240,40,82,0.488,31,56,0.554,9,26,0.346,20,22,0.909,109,37,81,0.457,30,63,0.476,7,18,0.389,15,19,0.789,96,2013-11-15,POR,BOS
3185,85,Home,W 109-85 ,240,41,72,0.569,32,51,0.627,9,21,0.429,18,24,0.75,109,32,99,0.323,25,79,0.316,7,20,0.35,14,20,0.7,85,2013-11-19,HOU,BOS
3186,86,@,W 109-97 ,240,38,80,0.475,33,63,0.524,5,17,0.294,28,40,0.7,109,35,77,0.455,21,51,0.412,14,26,0.538,13,18,0.722,97,2013-11-24,DET,BRK
3187,87,@,W 109-92 ,240,42,83,0.506,34,61,0.557,8,22,0.364,17,20,0.85,109,30,73,0.411,21,51,0.412,9,22,0.409,23,27,0.852,92,2013-11-26,ORL,ATL
3188,88,@,W 109-91 ,240,42,76,0.553,34,59,0.576,8,17,0.471,17,17,1.0,109,34,78,0.436,25,59,0.424,9,19,0.474,14,15,0.933,91,2013-11-29,SAS,ORL
3189,89,Home,W 109-103 ,240,43,79,0.544,33,62,0.532,10,17,0.588,13,16,0.813,109,40,83,0.482,31,55,0.564,9,28,0.321,14,20,0.7,103,2013-12-02,UTA,HOU
3190,90,@,W 109-95 ,240,39,77,0.506,32,56,0.571,7,21,0.333,24,30,0.8,109,33,88,0.375,30,72,0.417,3,16,0.188,26,34,0.765,95,2013-12-06,OKC,NOP
3191,91,@,W 109-105 (OT),265,42,92,0.457,36,72,0.5,6,20,0.3,19,26,0.731,109,33,83,0.398,25,56,0.446,8,27,0.296,31,41,0.756,105,2013-12-06,MIL,WAS
3192,92,Home,W 109-94 ,240,42,74,0.568,33,55,0.6,9,19,0.474,16,22,0.727,109,40,87,0.46,30,56,0.536,10,31,0.323,4,5,0.8,94,2013-12-10,CLE,NYK
3193,93,@,W 109-77 ,240,46,88,0.523,42,71,0.592,4,17,0.235,13,17,0.765,109,29,84,0.345,27,69,0.391,2,15,0.133,17,23,0.739,77,2013-12-11,SAS,MIL
3194,94,@,W 109-100 ,240,42,87,0.483,34,66,0.515,8,21,0.381,17,20,0.85,109,37,85,0.435,26,55,0.473,11,30,0.367,15,16,0.938,100,2013-12-13,CLE,ORL
3195,95,Home,L 109-111 (OT),265,44,94,0.468,41,79,0.519,3,15,0.2,18,27,0.667,109,41,99,0.414,34,73,0.466,7,26,0.269,22,26,0.846,111,2013-12-15,DET,POR
3196,96,Home,W 109-94 ,240,44,82,0.537,36,60,0.6,8,22,0.364,13,16,0.813,109,38,79,0.481,33,67,0.493,5,12,0.417,13,23,0.565,94,2013-12-18,HOU,CHI
3197,97,@,L 109-120 ,240,40,94,0.426,26,54,0.481,14,40,0.35,15,19,0.789,109,46,93,0.495,39,74,0.527,7,19,0.368,21,26,0.808,120,2013-12-18,POR,MIN
3198,98,@,W 109-108 (OT),265,42,91,0.462,31,70,0.443,11,21,0.524,14,18,0.778,109,46,91,0.505,36,70,0.514,10,21,0.476,6,10,0.6,108,2013-12-20,TOR,DAL
3199,99,Home,W 109-92 ,240,45,85,0.529,41,71,0.577,4,14,0.286,15,23,0.652,109,39,95,0.411,34,77,0.442,5,18,0.278,9,18,0.5,92,2013-12-27,ORL,DET
3200,0,Home,W 109-102 ,240,41,74,0.554,33,53,0.623,8,21,0.381,19,24,0.792,109,36,81,0.444,21,42,0.5,15,39,0.385,15,21,0.714,102,2013-12-29,ORL,ATL
3201,1,Home,W 109-105 ,240,43,80,0.538,36,64,0.563,7,16,0.438,16,18,0.889,109,44,89,0.494,40,81,0.494,4,8,0.5,13,19,0.684,105,2014-01-15,SAS,UTA
3202,2,Home,L 109-117 ,240,40,92,0.435,26,55,0.473,14,37,0.378,15,19,0.789,109,42,88,0.477,37,72,0.514,5,16,0.313,28,35,0.8,117,2014-01-17,DEN,CLE
3203,3,@,W 109-95 ,240,33,78,0.423,25,48,0.521,8,30,0.267,35,42,0.833,109,29,83,0.349,22,60,0.367,7,23,0.304,30,36,0.833,95,2014-01-17,LAC,NYK
3204,4,@,W 109-100 ,240,41,86,0.477,33,70,0.471,8,16,0.5,19,20,0.95,109,38,84,0.452,30,64,0.469,8,20,0.4,16,20,0.8,100,2014-01-17,POR,SAS
3205,5,Home,L 109-112 ,240,41,83,0.494,35,71,0.493,6,12,0.5,21,24,0.875,109,41,83,0.494,32,58,0.552,9,25,0.36,21,24,0.875,112,2014-01-22,ORL,ATL
3206,6,Home,W 109-102 ,240,45,78,0.577,37,58,0.638,8,20,0.4,11,23,0.478,109,40,88,0.455,31,63,0.492,9,25,0.36,13,21,0.619,102,2014-01-23,MIA,LAL
3207,7,Home,W 109-96 ,240,40,83,0.482,32,63,0.508,8,20,0.4,21,37,0.568,109,37,88,0.42,32,76,0.421,5,12,0.417,17,27,0.63,96,2014-01-25,DEN,IND
3208,8,@,L 109-111 ,240,43,88,0.489,31,63,0.492,12,25,0.48,11,12,0.917,109,43,82,0.524,30,57,0.526,13,25,0.52,12,18,0.667,111,2014-01-27,ATL,OKC
3209,9,Home,W 109-99 ,240,37,83,0.446,29,66,0.439,8,17,0.471,27,38,0.711,109,33,79,0.418,23,58,0.397,10,21,0.476,23,26,0.885,99,2014-02-04,MIN,LAL
3210,10,Home,W 109-101 ,240,32,81,0.395,28,69,0.406,4,12,0.333,41,51,0.804,109,36,84,0.429,26,59,0.441,10,25,0.4,19,24,0.792,101,2014-02-05,SAC,TOR
3211,11,@,L 109-126 ,240,41,88,0.466,26,55,0.473,15,33,0.455,12,22,0.545,109,50,98,0.51,42,78,0.538,8,20,0.4,18,23,0.783,126,2014-02-08,DEN,DET
3212,12,@,L 109-122 ,240,41,84,0.488,33,59,0.559,8,25,0.32,19,26,0.731,109,43,80,0.538,32,59,0.542,11,21,0.524,25,30,0.833,122,2014-02-08,GSW,PHO
3213,13,Home,W 109-100 ,240,43,90,0.478,38,74,0.514,5,16,0.313,18,26,0.692,109,43,82,0.524,38,65,0.585,5,17,0.294,9,11,0.818,100,2014-02-10,DET,SAS
3214,14,Home,W 109-99 ,240,41,86,0.477,29,65,0.446,12,21,0.571,15,23,0.652,109,34,74,0.459,26,48,0.542,8,26,0.308,23,33,0.697,99,2014-02-11,CLE,SAC
3215,15,Home,L 109-111 ,240,42,93,0.452,35,71,0.493,7,22,0.318,18,25,0.72,109,43,88,0.489,34,64,0.531,9,24,0.375,16,21,0.762,111,2014-02-19,POR,SAS
3216,16,@,W 109-95 ,240,37,78,0.474,32,65,0.492,5,13,0.385,30,36,0.833,109,33,88,0.375,18,56,0.321,15,32,0.469,14,21,0.667,95,2014-02-23,SAC,DEN
3217,17,Home,W 109-86 ,240,42,74,0.568,33,56,0.589,9,18,0.5,16,24,0.667,109,31,80,0.388,25,61,0.41,6,19,0.316,18,29,0.621,86,2014-02-26,UTA,PHO
3218,18,Home,W 109-90 ,240,39,84,0.464,31,62,0.5,8,22,0.364,23,33,0.697,109,35,79,0.443,30,61,0.492,5,18,0.278,15,18,0.833,90,2014-03-02,CHI,NYK
3219,19,Home,W 109-87 ,240,43,84,0.512,34,66,0.515,9,18,0.5,14,20,0.7,109,31,76,0.408,21,53,0.396,10,23,0.435,15,20,0.75,87,2014-03-05,CHA,IND
3220,20,Home,W 109-108 ,240,42,79,0.532,35,57,0.614,7,22,0.318,18,24,0.75,109,38,76,0.5,26,48,0.542,12,28,0.429,20,26,0.769,108,2014-03-08,LAC,ATL
3221,21,Home,W 109-99 ,240,47,84,0.56,41,72,0.569,6,12,0.5,9,13,0.692,109,35,86,0.407,28,69,0.406,7,17,0.412,22,29,0.759,99,2014-03-11,MEM,POR
3222,22,@,W 109-86 ,240,40,75,0.533,27,51,0.529,13,24,0.542,16,20,0.8,109,29,79,0.367,20,50,0.4,9,29,0.31,19,27,0.704,86,2014-03-16,DAL,OKC
3223,23,@,L 109-118 ,240,43,95,0.453,33,69,0.478,10,26,0.385,13,19,0.684,109,44,86,0.512,33,59,0.559,11,27,0.407,19,27,0.704,118,2014-03-19,DET,DEN
3224,24,Home,L 109-125 ,240,39,91,0.429,30,65,0.462,9,26,0.346,22,29,0.759,109,50,95,0.526,38,68,0.559,12,27,0.444,13,16,0.813,125,2014-03-19,LAL,SAS
3225,25,Home,W 109-93 ,240,45,89,0.506,34,64,0.531,11,25,0.44,8,12,0.667,109,32,80,0.4,26,67,0.388,6,13,0.462,23,30,0.767,93,2014-03-19,PHO,ORL
3226,26,Home,W 109-92 ,240,48,91,0.527,42,79,0.532,6,12,0.5,7,13,0.538,109,34,90,0.378,27,66,0.409,7,24,0.292,17,20,0.85,92,2014-03-24,MEM,MIN
3227,27,Home,W 109-104 (OT),265,40,85,0.471,31,65,0.477,9,20,0.45,20,27,0.741,109,33,90,0.367,23,50,0.46,10,40,0.25,28,32,0.875,104,2014-03-24,NOP,BRK
3228,28,@,W 109-103 ,240,38,82,0.463,27,56,0.482,11,26,0.423,22,25,0.88,109,37,79,0.468,27,59,0.458,10,20,0.5,19,27,0.704,103,2014-03-27,LAC,DAL
3229,29,@,W 109-93 ,240,39,97,0.402,33,76,0.434,6,21,0.286,25,31,0.806,109,35,81,0.432,29,60,0.483,6,21,0.286,17,27,0.63,93,2014-04-04,PHO,POR
3230,30,@,W 109-100 ,240,38,88,0.432,22,54,0.407,16,34,0.471,17,22,0.773,109,39,83,0.47,34,71,0.479,5,12,0.417,17,21,0.81,100,2014-04-10,SAS,DAL
3231,31,@,W 109-98 ,240,32,67,0.478,21,46,0.457,11,21,0.524,34,40,0.85,109,33,75,0.44,23,50,0.46,10,25,0.4,22,31,0.71,98,2014-04-15,NYK,BRK
3232,32,Home,W 109-102 ,240,37,90,0.411,29,64,0.453,8,26,0.308,27,33,0.818,109,40,80,0.5,27,58,0.466,13,22,0.591,9,17,0.529,102,2014-10-29,TOR,ATL
3233,33,@,W 109-104 ,240,46,89,0.517,40,64,0.625,6,25,0.24,11,19,0.579,109,38,89,0.427,31,70,0.443,7,19,0.368,21,28,0.75,104,2014-11-01,DAL,NOP
3234,34,@,L 109-131 ,240,37,82,0.451,28,54,0.519,9,28,0.321,26,31,0.839,109,42,76,0.553,34,56,0.607,8,20,0.4,39,50,0.78,131,2014-11-05,DEN,SAC
3235,35,@,W 109-94 ,240,40,82,0.488,30,58,0.517,10,24,0.417,19,22,0.864,109,37,83,0.446,28,50,0.56,9,33,0.273,11,13,0.846,94,2014-11-12,OKC,BOS
3236,36,Home,W 109-102 ,240,45,82,0.549,37,63,0.587,8,19,0.421,11,18,0.611,109,35,84,0.417,28,63,0.444,7,21,0.333,25,32,0.781,102,2014-11-12,NOP,LAL
3237,37,Home,W 109-93 ,240,41,76,0.539,35,62,0.565,6,14,0.429,21,27,0.778,109,32,82,0.39,19,48,0.396,13,34,0.382,16,26,0.615,93,2014-11-16,NYK,DEN
3238,38,Home,L 109-114 ,240,41,85,0.482,32,58,0.552,9,27,0.333,18,23,0.783,109,47,87,0.54,41,70,0.586,6,17,0.353,14,22,0.636,114,2014-11-18,ATL,LAL
3239,39,@,L 109-114 ,240,35,82,0.427,28,61,0.459,7,21,0.333,32,37,0.865,109,43,85,0.506,35,69,0.507,8,16,0.5,20,27,0.741,114,2014-11-25,CHI,DEN
3240,40,Home,W 109-102 (OT),265,38,95,0.4,34,64,0.531,4,31,0.129,29,38,0.763,109,39,92,0.424,25,64,0.391,14,28,0.5,10,16,0.625,102,2014-11-26,DAL,NYK
3241,41,@,W 109-102 ,240,37,90,0.411,32,73,0.438,5,17,0.294,30,37,0.811,109,37,92,0.402,31,70,0.443,6,22,0.273,22,29,0.759,102,2014-11-28,CHI,BOS
3242,42,Home,W 109-97 ,240,41,78,0.526,34,62,0.548,7,16,0.438,20,32,0.625,109,35,89,0.393,28,67,0.418,7,22,0.318,20,26,0.769,97,2014-11-29,CLE,IND
3243,43,@,W 109-103 ,240,36,83,0.434,27,57,0.474,9,26,0.346,28,35,0.8,109,38,89,0.427,26,60,0.433,12,29,0.414,15,25,0.6,103,2014-12-01,SAS,PHI
3244,44,Home,W 109-105 ,240,43,82,0.524,32,58,0.552,11,24,0.458,12,14,0.857,109,41,84,0.488,29,61,0.475,12,23,0.522,11,13,0.846,105,2014-12-02,ATL,BOS
3245,45,Home,L 109-117 ,240,39,75,0.52,36,65,0.554,3,10,0.3,28,37,0.757,109,44,88,0.5,34,65,0.523,10,23,0.435,19,21,0.905,117,2014-12-02,SAC,TOR
3246,46,Home,W 109-102 (OT),265,37,93,0.398,24,63,0.381,13,30,0.433,22,27,0.815,109,37,102,0.363,29,75,0.387,8,27,0.296,20,29,0.69,102,2014-12-03,BOS,DET
3247,47,Home,W 109-85 ,240,39,69,0.565,30,53,0.566,9,16,0.563,22,26,0.846,109,30,68,0.441,23,50,0.46,7,18,0.389,18,27,0.667,85,2014-12-05,MIL,MIA
3248,48,Home,W 109-95 ,240,37,73,0.507,27,54,0.5,10,19,0.526,25,30,0.833,109,37,76,0.487,31,61,0.508,6,15,0.4,15,17,0.882,95,2014-12-10,SAS,NYK
3249,49,Home,L 109-113 (OT),265,39,84,0.464,31,66,0.47,8,18,0.444,23,34,0.676,109,38,95,0.4,23,51,0.451,15,44,0.341,22,31,0.71,113,2014-12-11,SAC,HOU
3250,50,Home,W 109-95 ,240,43,86,0.5,33,69,0.478,10,17,0.588,13,18,0.722,109,36,81,0.444,33,73,0.452,3,8,0.375,20,35,0.571,95,2014-12-16,WAS,MIN
3251,51,Home,W 109-92 ,240,44,80,0.55,37,61,0.607,7,19,0.368,14,18,0.778,109,37,85,0.435,32,66,0.485,5,19,0.263,13,15,0.867,92,2014-12-17,BOS,ORL
3252,52,@,L 109-114 ,240,41,86,0.477,30,61,0.492,11,25,0.44,16,24,0.667,109,48,94,0.511,36,63,0.571,12,31,0.387,6,10,0.6,114,2014-12-18,OKC,GSW
3253,53,Home,W 109-106 ,240,38,80,0.475,27,51,0.529,11,29,0.379,22,30,0.733,109,39,85,0.459,36,67,0.537,3,18,0.167,25,33,0.758,106,2014-12-19,DEN,LAC
3254,54,@,W 109-91 ,240,43,98,0.439,33,74,0.446,10,24,0.417,13,17,0.765,109,32,71,0.451,20,45,0.444,12,26,0.462,15,17,0.882,91,2014-12-19,CHA,PHI
3255,55,@,W 109-107 ,240,41,83,0.494,34,62,0.548,7,21,0.333,20,28,0.714,109,45,87,0.517,36,63,0.571,9,24,0.375,8,11,0.727,107,2014-12-26,BRK,BOS
3256,56,@,L 109-119 ,240,42,83,0.506,33,63,0.524,9,20,0.45,16,22,0.727,109,47,86,0.547,37,60,0.617,10,26,0.385,15,29,0.517,119,2014-12-26,IND,DET
3257,57,Home,W 109-101 ,240,40,79,0.506,30,50,0.6,10,29,0.345,19,26,0.731,109,37,84,0.44,24,53,0.453,13,31,0.419,14,21,0.667,101,2014-12-30,ATL,CLE
3258,58,@,W 109-86 ,240,40,86,0.465,26,53,0.491,14,33,0.424,15,29,0.517,109,38,85,0.447,34,65,0.523,4,20,0.2,6,10,0.6,86,2014-12-30,DET,ORL
3259,59,@,W 109-106 ,240,41,84,0.488,35,70,0.5,6,14,0.429,21,31,0.677,109,43,81,0.531,37,62,0.597,6,19,0.316,14,19,0.737,106,2015-01-02,MEM,LAL
3260,60,Home,W 109-102 ,240,44,83,0.53,36,64,0.563,8,19,0.421,13,19,0.684,109,39,84,0.464,28,63,0.444,11,21,0.524,13,15,0.867,102,2015-01-02,OKC,WAS
3261,61,Home,W 109-104 (OT),265,37,100,0.37,31,72,0.431,6,28,0.214,29,40,0.725,109,45,100,0.45,40,83,0.482,5,17,0.294,9,11,0.818,104,2015-01-03,CHI,BOS
3262,62,@,W 109-90 ,240,44,78,0.564,32,52,0.615,12,26,0.462,9,11,0.818,109,35,86,0.407,27,61,0.443,8,25,0.32,12,17,0.706,90,2015-01-04,DAL,CLE
3263,63,@,L 109-125 ,240,38,83,0.458,29,57,0.509,9,26,0.346,24,29,0.828,109,48,89,0.539,40,66,0.606,8,23,0.348,21,28,0.75,125,2015-01-04,TOR,PHO
3264,64,Home,W 109-96 ,240,41,91,0.451,28,61,0.459,13,30,0.433,14,19,0.737,109,39,83,0.47,33,65,0.508,6,18,0.333,12,20,0.6,96,2015-01-10,TOR,BOS
3265,65,@,W 109-102 ,240,37,78,0.474,28,48,0.583,9,30,0.3,26,36,0.722,109,39,76,0.513,31,52,0.596,8,24,0.333,16,23,0.696,102,2015-01-15,CLE,LAL
3266,66,@,W 109-99 ,240,38,84,0.452,27,57,0.474,11,27,0.407,22,27,0.815,109,37,79,0.468,32,65,0.492,5,14,0.357,20,29,0.69,99,2015-01-20,SAS,DEN
3267,67,Home,W 109-106 ,240,40,79,0.506,32,62,0.516,8,17,0.471,21,25,0.84,109,39,81,0.481,30,57,0.526,9,24,0.375,19,25,0.76,106,2015-01-25,NOP,DAL
3268,68,@,W 109-90 ,240,42,79,0.532,32,58,0.552,10,21,0.476,15,20,0.75,109,38,78,0.487,31,52,0.596,7,26,0.269,7,10,0.7,90,2015-01-27,MEM,DAL
3269,69,@,W 109-102 ,240,39,71,0.549,30,55,0.545,9,16,0.563,22,30,0.733,109,38,75,0.507,31,55,0.564,7,20,0.35,19,26,0.731,102,2015-01-27,MIL,MIA
3270,70,@,L 109-114 ,240,43,87,0.494,31,63,0.492,12,24,0.5,11,15,0.733,109,46,77,0.597,34,56,0.607,12,21,0.571,10,18,0.556,114,2015-02-04,DET,IND
3271,71,@,W 109-93 ,240,40,81,0.494,31,62,0.5,9,19,0.474,20,23,0.87,109,35,79,0.443,25,46,0.543,10,33,0.303,13,18,0.722,93,2015-02-04,BRK,TOR
3272,72,@,W 109-98 ,240,40,76,0.526,31,47,0.66,9,29,0.31,20,23,0.87,109,31,82,0.378,18,47,0.383,13,35,0.371,23,34,0.676,98,2015-02-08,POR,HOU
3273,73,Home,W 109-95 ,240,36,74,0.486,24,52,0.462,12,22,0.545,25,29,0.862,109,36,84,0.429,29,64,0.453,7,20,0.35,16,19,0.842,95,2015-02-09,MIA,NYK
3274,74,@,L 109-111 ,240,40,89,0.449,33,72,0.458,7,17,0.412,22,31,0.71,109,40,86,0.465,36,71,0.507,4,15,0.267,27,38,0.711,111,2015-02-20,PHO,MIN
3275,75,Home,W 109-101 ,240,40,83,0.482,32,61,0.525,8,22,0.364,21,26,0.808,109,40,100,0.4,34,78,0.436,6,22,0.273,15,26,0.577,101,2015-02-20,SAC,BOS
3276,76,@,L 109-114 (OT),265,40,88,0.455,30,63,0.476,10,25,0.4,19,24,0.792,109,41,80,0.513,34,56,0.607,7,24,0.292,25,33,0.758,114,2015-03-07,SAC,MIA
3277,77,Home,W 109-103 (OT),265,39,79,0.494,30,57,0.526,9,22,0.409,22,28,0.786,109,35,91,0.385,31,77,0.403,4,14,0.286,29,36,0.806,103,2015-03-12,IND,MIL
3278,78,Home,W 109-91 ,240,44,92,0.478,33,59,0.559,11,33,0.333,10,17,0.588,109,34,79,0.43,27,47,0.574,7,32,0.219,16,24,0.667,91,2015-03-12,UTA,HOU
