,Unnamed: 0,Unnamed: 0.1,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id,year,dk_points_allowed
46,46,46,@,W 136-130 (2OT),290,53,108,0.491,47,84,0.56,6,24,0.25,24,29,0.828,136,40,97,0.412,32,72,0.444,8,25,0.32,42,54,0.778,130,2014-04-16,UTA,MIN,2014,134.0
47,47,47,@,W 136-115 ,240,46,86,0.535,32,58,0.552,14,28,0.5,30,34,0.882,136,39,99,0.394,36,83,0.434,3,16,0.188,34,43,0.791,115,2014-11-16,GSW,LAL,2015,116.5
48,48,48,Home,L 136-139 (2OT),290,47,106,0.443,35,73,0.479,12,33,0.364,30,38,0.789,136,50,110,0.455,42,83,0.506,8,27,0.296,31,38,0.816,139,2015-10-30,ORL,OKC,2016,143.0
49,49,49,Home,W 136-111 ,240,50,88,0.568,32,58,0.552,18,30,0.6,18,22,0.818,136,38,85,0.447,29,61,0.475,9,24,0.375,26,33,0.788,111,2016-04-03,GSW,POR,2016,115.5
50,50,50,@,W 136-130 (2OT),290,52,105,0.495,41,83,0.494,11,22,0.5,21,31,0.677,136,50,108,0.463,38,78,0.487,12,30,0.4,18,26,0.692,130,2016-12-20,ORL,MIA,2017,136.0
51,51,51,@,W 136-106 ,240,54,95,0.568,44,72,0.611,10,23,0.435,18,21,0.857,136,43,88,0.489,29,54,0.537,14,34,0.412,6,7,0.857,106,2017-03-04,DET,PHI,2017,113.0
52,52,52,Home,W 135-98 ,240,52,86,0.605,39,58,0.672,13,28,0.464,18,27,0.667,135,35,83,0.422,29,64,0.453,6,19,0.316,22,31,0.71,98,2013-11-16,NOP,PHI,2014,101.0
53,53,53,Home,W 135-129 (OT),265,49,89,0.551,41,73,0.562,8,16,0.5,29,33,0.879,135,48,97,0.495,42,77,0.545,6,20,0.3,27,32,0.844,129,2014-12-27,SAC,NYK,2015,132.0
54,54,54,@,W 135-131 ,240,56,91,0.615,52,76,0.684,4,15,0.267,19,24,0.792,135,45,93,0.484,31,62,0.5,14,31,0.452,27,33,0.818,131,2015-04-01,DAL,OKC,2015,138.0
55,55,55,@,W 135-116 ,240,46,81,0.568,24,43,0.558,22,38,0.579,21,31,0.677,135,45,92,0.489,35,66,0.53,10,26,0.385,16,23,0.696,116,2015-11-27,GSW,PHO,2016,121.0
56,56,56,Home,W 135-90 ,240,51,87,0.586,37,59,0.627,14,28,0.5,19,26,0.731,135,34,86,0.395,26,58,0.448,8,28,0.286,14,20,0.7,90,2016-12-17,GSW,POR,2017,94.0
57,57,57,Home,L 135-140 (OT),265,50,99,0.505,38,70,0.543,12,29,0.414,23,26,0.885,135,49,92,0.533,30,54,0.556,19,38,0.5,23,28,0.821,140,2017-02-06,WAS,CLE,2017,149.5
58,58,58,@,W 135-130 ,240,47,86,0.547,22,40,0.55,25,46,0.543,16,20,0.8,135,49,91,0.538,39,65,0.6,10,26,0.385,22,30,0.733,130,2017-03-03,CLE,ATL,2017,135.0
59,59,59,@,W 134-126 (OT),265,48,92,0.522,34,62,0.548,14,30,0.467,24,26,0.923,134,41,97,0.423,25,67,0.373,16,30,0.533,28,36,0.778,126,2012-12-10,SAS,HOU,2013,134.0
60,60,60,Home,W 134-104 ,240,54,93,0.581,33,60,0.55,21,33,0.636,5,7,0.714,134,34,79,0.43,27,63,0.429,7,16,0.438,29,36,0.806,104,2014-01-02,POR,CHA,2014,107.5
61,61,61,@,W 134-108 ,240,52,104,0.5,34,69,0.493,18,35,0.514,12,25,0.48,134,41,84,0.488,27,57,0.474,14,27,0.519,12,15,0.8,108,2014-02-19,HOU,LAL,2014,115.0
62,62,62,@,W 134-129 (3OT),315,51,108,0.472,46,86,0.535,5,22,0.227,27,37,0.73,134,45,100,0.45,33,70,0.471,12,30,0.4,27,36,0.75,129,2014-02-27,WAS,TOR,2014,135.0
63,63,63,Home,W 134-126 ,240,54,99,0.545,40,75,0.533,14,24,0.583,12,21,0.571,134,45,97,0.464,33,70,0.471,12,27,0.444,24,30,0.8,126,2014-03-07,DEN,LAL,2014,132.0
64,64,64,@,L 134-137 (OT),265,46,90,0.511,33,63,0.524,13,27,0.481,29,35,0.829,134,41,99,0.414,30,64,0.469,11,35,0.314,44,49,0.898,137,2014-12-31,PHO,OKC,2015,142.5
